repo_name,path,f0_
ethereum/solidity,test/libsolidity/syntaxTests/parsing/single_return_param_trailing_comma.sol,""
Project-WikiGit/WikiGit,dev/contracts/dao.sol,"invalidateVotingAtIndex(uint _index);vote(uint _votingId, bool _support);concludeVoting(uint _votingId);paySolutionReward(uint _taskId, uint _solId);paySolutionRewardGoodRep(address _submitter, uint _rewardGoodRep);getVotingListCount();vHasVoted(uint _votingId, address _addr)"
akhilss/embark-framework,test_app/app/contracts/simple_storage.sol,SimpleStorage(uint initialValue);set(uint x);get();getS()
orbro/eth-enablers,safeRemotePurchase.sol,Purchase();abort();confirmPurchase();confirmReceived()
jamiehale/dao_partnership,contracts/Partnership.sol,"proposeTransaction(address _to, uint _value, bytes _data, string _description);cancelTransaction(bytes32 _id);confirmTransaction(bytes32 _id);executeTransaction(bytes32 _id);distribute(address _recipient, uint _amount);distributeEvenly(uint _amount);repayLoan(address _recipient, uint _amount);withdraw(uint _amount);dissolve(address _beneficiary);isPartner(address _address)"
bobsummerwill/solidity,test/libsolidity/syntaxTests/types/contractTypeType/members/assign_function_via_base_name_to_var.sol,f();g();h()
winsvega/solidity,test/libsolidity/syntaxTests/fallback/default_visibility.sol,""
winsvega/solidity,test/libsolidity/syntaxTests/functionTypes/valid_function_type_variables.sol,fa(uint);fb(uint);fc(uint);fd(uint);fe(uint);ff(uint);fg(uint);fh(uint)
bobsummerwill/solidity,test/libsolidity/syntaxTests/functionTypes/valid_function_type_variables.sol,fa(uint);fb(uint);fc(uint);fd(uint);fe(uint);ff(uint);fg(uint);fh(uint)
ethereum/solidity,test/libsolidity/syntaxTests/functionTypes/valid_function_type_variables.sol,fa(uint);fb(uint);fc(uint);fd(uint);fe(uint);ff(uint);fg(uint);fh(uint)
winsvega/solidity,test/libsolidity/syntaxTests/inlineAssembly/storage_reference_fine.sol,""
dltdojo/courses,ethereum/solidity/T240_CrowdSale.sol,"info();buyTokens(Crowdsale crowdsale, uint weiAmount)"
ethereum/solidity,test/libsolidity/semanticTests/libraries/internal_library_function_bound_to_internal_function.sol,double(function(uint);identity(uint x);test(uint value)
mwensveen-nl/solidity-testing,src/test/resources/SelfDestructManager.sol,SelfDestructManager();give();endContract();SelfDestruct();endContract()
ocg1/assetx,007_MintedTokenCappedCrowdsaleExt.sol,"safeMul(uint a, uint b);safeDiv(uint a, uint b);safeSub(uint a, uint b);safeAdd(uint a, uint b);balanceOf(address who);transfer(address to, uint256 value);Ownable();transferOwnership(address newOwner);times(uint a, uint b);divides(uint a, uint b);minus(uint a, uint b);plus(uint a, uint b);halt();unhalt();isPricingStrategy();isSane(address crowdsale);isPresalePurchase(address purchaser);calculatePrice(uint value, uint weiRaised, uint tokensSold, address msgSender, uint decimals);isFinalizeAgent();isSane();finalizeCrowdsale();allowance(address owner, address spender);transferFrom(address from, address to, uint256 value);approve(address spender, uint256 value);CrowdsaleExt(address _token, PricingStrategy _pricingStrategy, address _multisigWallet, uint _start, uint _end, uint _minimumFundingGoal, bool _isUpdatable, bool _isWhiteListed);investInternal(address receiver, uint128 customerId);preallocate(address receiver, uint fullTokens, uint weiPrice);investWithSignedAddress(address addr, uint128 customerId, uint8 v, bytes32 r, bytes32 s);investWithCustomerId(address addr, uint128 customerId);invest(address addr);buyWithSignedAddress(uint128 customerId, uint8 v, bytes32 r, bytes32 s);buyWithCustomerId(uint128 customerId);buy();finalize();setFinalizeAgent(FinalizeAgent addr);setRequireCustomerId(bool value);setRequireSignedAddress(bool value, address _signerAddress);setEarlyParicipantWhitelist(address addr, bool status, uint minCap, uint maxCap);setEarlyParicipantsWhitelist(address[] addrs, bool[] statuses, uint[] minCaps, uint[] maxCaps);updateEarlyParicipantWhitelist(address addr, address contractAddr, uint tokensBought);updateJoinedCrowdsales(address addr);setLastCrowdsale(address addr);clearJoinedCrowdsales();updateJoinedCrowdsalesMultiple(address[] addrs);setStartsAt(uint time);setEndsAt(uint time);setPricingStrategy(PricingStrategy _pricingStrategy);setMultisig(address addr);loadRefund();refund();isMinimumGoalReached();isFinalizerSane();isPricingSane();getState();setOwnerTestValue(uint val);isCrowdsale();isBreakingCap(uint weiAmount, uint tokenAmount, uint weiRaisedTotal, uint tokensSoldTotal);isBreakingInvestorCap(address receiver, uint tokenAmount);isCrowdsaleFull();assignTokens(address receiver, uint tokenAmount);isToken();transfer(address _to, uint _value);transferFrom(address _from, address _to, uint _value);balanceOf(address _owner);approve(address _spender, uint _value);allowance(address _owner, address _spender);setReservedTokensList(address addr, uint inTokens, uint inPercentageUnit, uint inPercentageDecimals);getReservedTokensListValInTokens(address addr);getReservedTokensListValInPercentageUnit(address addr);getReservedTokensListValInPercentageDecimals(address addr);setReservedTokensListMultiple(address[] addrs, uint[] inTokens, uint[] inPercentageUnit, uint[] inPercentageDecimals);mint(address receiver, uint amount);setMintAgent(address addr, bool state);MintedTokenCappedCrowdsaleExt(address _token, PricingStrategy _pricingStrategy, address _multisigWallet, uint _start, uint _end, uint _minimumFundingGoal, uint _maximumSellableTokens, bool _isUpdatable, bool _isWhiteListed);isBreakingCap(uint weiAmount, uint tokenAmount, uint weiRaisedTotal, uint tokensSoldTotal);isBreakingInvestorCap(address addr, uint tokenAmount);isCrowdsaleFull();assignTokens(address receiver, uint tokenAmount);setMaximumSellableTokens(uint tokens)"
ethereum/solidity,test/libsolidity/smtCheckerTests/types/function_type_as_argument.sol,f(function(uint)
ethereum/solidity,test/libsolidity/semanticTests/functionTypes/function_delete_storage.sol,a();set();d();ca()
lucywe/rootcore-crowdsale,solidity/contracts/CrowdsaleController.sol,"CrowdsaleController(uint256 _startTime, address _beneficiary);computeReturn(uint256 _contribution);upadateContributorsCount(uint256 _tokenAmount);addToWhitelist(address _address);removeFromWhitelist(address _address);contributeETH();contributePreSale();contributeFiat(address _contributor, uint256 _amount);processContribution()"
winsvega/solidity,test/libsolidity/ASTJSON/fallback_payable.sol,""
ethereum/solidity,test/libsolidity/semanticTests/constructor/store_internal_unused_library_function_in_constructor.sol,x();t()
rootprojectco/backend,contracts/reservation/Reservation.sol,"invest(address receiver);setEarlyParicipantWhitelist(address addr, bool status);setEndsAt(uint time);setPricingStrategy(address _pricingStrategy);setMultisig(address addr);loadRefund();refund();getState();isMinimumGoalReached();isBreakingCap(uint tokensSoldTotal);isReservationFull()"
stanta/darfchain,ICO/contracts/Crowdsale.sol,"Crowdsale(address _token, PricingStrategy _pricingStrategy, address _multisigWallet, uint _start, uint _end, uint _minimumFundingGoal);investInternal(address receiver, uint128 customerId);preallocate(address receiver, uint fullTokens, uint weiPrice);investWithSignedAddress(address addr, uint128 customerId, uint8 v, bytes32 r, bytes32 s);investWithCustomerId(address addr, uint128 customerId);invest(address addr);buyWithSignedAddress(uint128 customerId, uint8 v, bytes32 r, bytes32 s);buyWithCustomerId(uint128 customerId);buy();finalize();setFinalizeAgent(FinalizeAgent addr);setRequireCustomerId(bool value);setRequireSignedAddress(bool value, address _signerAddress);setEarlyParicipantWhitelist(address addr, bool status);setEndsAt(uint time);setPricingStrategy(PricingStrategy _pricingStrategy);loadRefund();refund();isMinimumGoalReached();isFinalizerSane();isPricingSane();getState();setOwnerTestValue(uint val);isCrowdsale();isBreakingCap(uint weiAmount, uint tokenAmount, uint weiRaisedTotal, uint tokensSoldTotal);isCrowdsaleFull();assignTokens(address receiver, uint tokenAmount)"
Project-WikiGit/WikiGit,dev/contracts/main.sol,"Module(address _mainAddress);moduleAddress(string mod);Main(string _metadata, bytes _abiIPFSHash);initializeModuleAddresses(address[] _addrs);initializeABIHashForMod(uint _modId, bytes _abiHash);getABIHashForMod(bytes32 _modHash);setABIHashForMod(bytes32 _modHash, bytes _abiHash);removeModuleAtIndex(uint _index);setMetadata(string _meta)"
winsvega/solidity,test/libsolidity/syntaxTests/parsing/multiple_modifier_arg_trailing_comma.sol,""
bobsummerwill/solidity,test/libsolidity/syntaxTests/parsing/multiple_modifier_arg_trailing_comma.sol,""
ethereum/solidity,test/libsolidity/semanticTests/viaYul/function_selector.sol,f();h(function()
bobsummerwill/solidity,test/libsolidity/smtCheckerTests/types/function_type_arrays.sol,f()
apmilen/standard-token-sale,src/sale.t.sol,"SaleUser(StandardSale sale_);doBuy(uint wad);doTransfer(address to, uint256 amount);setToken(DSToken token_);doStop();time();addTime(uint extra);setUp();testSaleToken();testOwnerToken();testPublicBuy();testClaimTokens();testBuyManyTimes();testPostpone();testHitSoftCap();testFinalize();testTokenOwnershipAfterFinalize();testTransferAfterFinalize();testBuyExceedHardLimit();testFailTransferBeforeFinalize();testFailSoftLimit();testFailHardLimit();testFailStartTooEarly();testFailBuyAfterClose();time();addTime(uint extra);setUp();testSetPresale();testAppendTranch();testFailAppendTranch();testPreDistribute();testFailPreDistribute();testHitSoftCapPreDistribute();testHitPresaleCapPreDistribute();testFailHitPresaleCapPreDistribute();testHighestTranch();testHighestTranchNotExact();testMiddleTranch();testMiddleTranchNotExact();testLowestTranch();testHitSoftCapPresale();testHitPresaleCapPresale();testPresaleRefund();testRegularBuy();testUnsyncedRate()"
daxxcoin/daxxcore,contracts/ens/contract/ens.sol,"ENS(address owner);owner(bytes32 node);resolver(bytes32 node);setOwner(bytes32 node, address owner);setSubnodeOwner(bytes32 node, bytes32 label, address owner);setResolver(bytes32 node, address resolver);FIFSRegistrar(address ensAddr, bytes32 node);register(bytes32 subnode, address owner);has(bytes32 node, bytes32 kind);addr(bytes32 node);content(bytes32 node);PublicResolver(address ensAddr);has(bytes32 node, bytes32 kind);addr(bytes32 node);content(bytes32 node);setAddr(bytes32 node, address addr);setContent(bytes32 node, bytes32 hash)"
orbro/eth-enablers,dgdSwapContract.sol,"balanceOf(address _owner);badgesOf(address _owner);transfer(address _to, uint256 _value);sendBadge(address _to, uint256 _value);transferFrom(address _from, address _to, uint256 _value);approve(address _spender, uint256 _value);allowance(address _owner, address _spender);mint(address _owner, uint256 _amount);calculateTxFee(uint256 _value, address _user);swap(address sendEtherTo, address adddressOfToken, uint tokenPriceInFinney_1000FinneyIs_1Ether, uint durationInDays);killSwap();emergencyWithdrawal(address token)"
winsvega/solidity,test/libsolidity/syntaxTests/parsing/multiple_function_param_trailing_comma.sol,""
bobsummerwill/solidity,test/libsolidity/syntaxTests/parsing/multiple_function_param_trailing_comma.sol,""
benjaminion/solidity,test/libsolidity/syntaxTests/functionTypes/external_function_to_function_type_calldata_parameter.sol,f(function(bytes memory);callback(bytes);g()
ethereum/solidity,test/libsolidity/syntaxTests/functionTypes/function_parameter_allowed_conversions.sol,test(function();test(function();f();g();h();i();j(function();testPure();testView();testDefault()
furusiyya/Notary-Platform,contracts/Crowdfunding.sol,"Crowdfunding();buy(address receiver);forwardFunds();multiSigAddress();tokenContractAddress();tokenStoreAddress();fundingStartAt();fundingEndsAt();distinctInvestors();investments();investedAmoun(address _addr);fundingRaised();exchnageRate();isWhiteListed(address _address);getState();updateMultiSig(address _newAddress);updateTokenContractAddr(address _newAddress);updateTokenStore(address _newAddress);updateEndsAt(uint256 _endsAt);updateExchangeRate(uint256 _newRate);updateWhiteList(address _address,bool _status);isCrowdsale();earlyBirds();updateBonuses(address _address,bool _status);getBonus(address _address,uint256 _value);isEarlyBird(address _address);isTokenContract();transferFrom(address _from, address _to, uint256 _value)"
NTRYPlatform/ntry-solidity,contracts/Crowdfunding.sol,"Crowdfunding();buy(address receiver);forwardFunds();multiSigAddress();tokenContractAddress();tokenStoreAddress();fundingStartAt();fundingEndsAt();distinctInvestors();investments();investedAmoun(address _addr);fundingRaised();exchnageRate();isWhiteListed(address _address);getState();updateMultiSig(address _newAddress);updateTokenContractAddr(address _newAddress);updateTokenStore(address _newAddress);updateEndsAt(uint256 _endsAt);updateExchangeRate(uint256 _newRate);updateWhiteList(address _address,bool _status);isCrowdsale();earlyBirds();updateBonuses(address _address,bool _status);getBonus(address _address,uint256 _value);isEarlyBird(address _address);isTokenContract();transferFrom(address _from, address _to, uint256 _value)"
vechain-team/crowdsale-contracts,contracts/Rollback.sol,"receiveApproval(address _from, uint256 _value, address _tokenContract, bytes _extraData);Rollback();withdrawETH(address _address,uint256 _amount);withdrawToken(address _address, uint256 _amount);setCredit(address _account, uint256 _amount);getCredit(address _account);receiveApproval(address _from, uint256 _value, address /*_tokenContract*/, bytes /*_extraData*/)"
ethereum/solidity,test/libsolidity/syntaxTests/functionTypes/public_function_type.sol,f()
orbro/eth-enablers,solidity-baby-steps-master/contracts/45_pong.sol,getPongvalTransactional();Pong(int8 _pongval);getPongvalTransactional();getPongvalConstant();setPongval(int8 _pongval);getPongvalTxRetrievalAttempted();getAddress();kill()
ethereum/solidity,test/libsolidity/syntaxTests/types/mapping/function_type_argument_internal.sol,f(function(mapping(uint=>uint)
winsvega/solidity,test/libsolidity/syntaxTests/functionTypes/public_function_type.sol,f()
bobsummerwill/solidity,test/libsolidity/syntaxTests/functionTypes/public_function_type.sol,f()
benjaminion/solidity,test/libsolidity/syntaxTests/functionTypes/public_function_type.sol,f()
aragon/aragon-network-token,packages/sale/installed_contracts/zeppelin/contracts/Bounty.sol,createTarget();deployContract();claim(Target target);checkInvariant()
pooleja/SolidityPlayground,contracts/zeppelin/Bounty.sol,createTarget();deployContract();claim(Target target);checkInvariant()
maraoz/zeppelin-solidity,contracts/Bounty.sol,createTarget();deployContract();claim(Target target);checkInvariant()
UrsZeidler/checksumDatabase,checksumDatabase/src/main/resources/mix/contract.sol,"ChecksumDatabase(string _name,string _url,string _description);addEntry(string _version,string _checksum);changeOwner(address newOwner);getEntry(uint id)"
Majoolr/ethereum-libraries,WalletLib/truffle/contracts/WalletLibTestContract.sol,"WalletLibTestContract();owners();ownerIndex(address _owner);maxOwners();ownerCount();requiredAdmin();requiredMinor();requiredMajor();currentSpend(address _token);majorThreshold(address _token);transactionLength(bytes32 _id);transactionConfirms(bytes32 _id, uint256 _txIndex);transactionConfirmCount(bytes32 _id, uint256 _txIndex);transactionSuccess(bytes32 _id, uint256 _txIndex);changeOwner(address _from, address _to, bool _confirm);addOwner(address _newOwner, bool _confirm);removeOwner(address _ownerRemoving, bool _confirm);changeRequiredAdmin(uint256 _newRequired, bool _confirm);changeRequiredMajor(uint256 _newRequired, bool _confirm);changeRequiredMinor(uint256 _newRequired, bool _confirm);changeMajorThreshold(address _token, uint256 _newThreshold, bool _confirm);serveTx(address _to, uint256 _value, bytes _txData, bool _confirm);confirmTx(bytes32 _id);revokeConfirm(bytes32 _id);checkNotConfirmed(bytes32 _id, uint256 _txIndex)"
ProjectEntropy/contracts,contracts/Entropy.sol,"Entropy();buyTokens();changeSafetyLimit(uint _new_limit);setGuardian(address _person, bool _is_guardian);isGuardian(address _citizen);isCitizen(address _citizen)"
Majoolr/ethereum-libraries,VestingLib/truffle/contracts/VestingLibETHTestContract.sol,"initializeETHBalance();registerUser(address _registrant, uint256 _vestAmount, uint256 _bonus);registerUsers(address[] _registrants, uint256 _vestAmount, uint256 _bonus);unregisterUser(address _registrant);unregisterUsers(address[] _registrants);swapRegistration(address _replacementRegistrant);withdrawETH();sendETH(address _beneficiary);ownerWithdrawExtraETH();getOwner();getTotalSupply();getContractBalance();getIsToken();getStartTime();getEndTime();getNumRegistered();getTimeInterval();getPercentPerInterval();getPercentReleased();getHasWithdrawn(address _participant);getVestingAmount(address _participant);getBonusAmount(address _participant)"
Project-WikiGit/WikiGit,dev/contracts/member_handler.sol,"MemberHandler(string _creatorUserName, address _mainAddr);setSelfAsContributor(string userName);setSelfAsPureShareholder(string _userName);removeMemberWithAddress(address _addr);alterBannedStatus(address _addr, bool _newStatus);incMemberGoodRep(address _addr, uint _amount);incMemberBadRep(address _addr, uint _amount);changeMemberGroup(uint _id, string _newGroupName);changeSelfName(string _newName);changeSelfAddress(address _newAddress);getMemberAtAddress(address _addr);getGroupRight(string _groupName, string _right);memberHasRight(address _addr, string _right);memberGroupNameHash(address _addr);getMemberListCount()"
ethereum/solidity,test/libsolidity/semanticTests/inheritance/inherited_function_through_dispatch.sol,f();f();g()
ethereum/solidity,test/libsolidity/semanticTests/functionTypes/function_external_delete_storage.sol,increment();set();incrementIndirectly();deleteFunction()
winsvega/solidity,test/libsolidity/smtCheckerTests/complex/slither/external_function.sol,funcCalled();callWithSuper();funcNotCalled();my_func();funcNotCalled();exec()
bobsummerwill/solidity,test/libsolidity/smtCheckerTests/complex/slither/external_function.sol,funcCalled();callWithSuper();funcNotCalled();my_func();funcNotCalled();exec()
ethereum/solidity,test/libsolidity/semanticTests/viaYul/function_address.sol,f();g();h(function()
ethereum/solidity,test/libsolidity/syntaxTests/functionTypes/function_type_parameter.sol,f(function(uint)
Majoolr/ethereum-libraries,VestingLib/truffle/contracts/VestingLibTokenTestContract.sol,"initializeTokenBalance(CrowdsaleToken token, uint256 _balance);registerUser(address _registrant, uint256 _vestAmount, uint256 _bonus);registerUsers(address[] _registrants, uint256 _vestAmount, uint256 _bonus);unregisterUser(address _registrant);unregisterUsers(address[] _registrants);swapRegistration(address _replacementRegistrant);withdrawTokens(CrowdsaleToken token);sendTokens(CrowdsaleToken token, address _beneficiary);ownerWithdrawExtraTokens(CrowdsaleToken token);getOwner();getTotalSupply();getContractBalance();getIsToken();getStartTime();getEndTime();getNumRegistered();getTimeInterval();getPercentPerInterval();getPercentReleased();getHasWithdrawn(address _participant);getVestingAmount(address _participant);getBonusAmount(address _participant)"
FedCoup/FedCoup,installed_contracts/zeppelin/contracts/Bounty.sol,createTarget();deployContract();claim(Target target);checkInvariant()
ethereum/solidity,test/libsolidity/semanticTests/array/copying/copy_function_storage_array.sol,test();a()
ethereum/solidity,test/libsolidity/semanticTests/functionCall/calling_uninitialized_function_in_detail.sol,t()
elementrem/solidity,test/compilationTests/zeppelin/ownership/HasNoEther.sol,HasNoElement();reclaimElement()
ownage-ltd/ether-router,contracts/EtherRouter.sol,EtherRouter(Resolver _resolver)
ConsenSys/truffle,packages/decoder/test/current/contracts/DecodingSample.sol,example();spill()
QTBlockchain/SolidityNWeb3,SmartContracts/March2018/AbstractionDemo/contracts/AutoFare.sol,"AutoFare(uint16 distance,uint16 price);receiveEther();computeFare(uint16 distance);getBalance()"
ethereum/solidity,test/libsolidity/semanticTests/immutable/internal_function_pointer.sol,f();callZ()
Pavel-DV/ChronoMint,old/ChronoMint.sol,"getAddress(string name);isCBE(address key);getValue(string name);setAddress(string name, address value);setValue(string name, uint value);setContractValue(address subject, string name, uint value);getLOCbyID(uint _id);addLOCtoLHT(address laborOfferingContract, address laborHourToken);approveContract(address newContract);ChronoMint(address _tc, address _rc, address _ec)"
bshevchenko/ChronoMint,old/ChronoMint.sol,"getAddress(string name);isCBE(address key);getValue(string name);setAddress(string name, address value);setValue(string name, uint value);setContractValue(address subject, string name, uint value);getLOCbyID(uint _id);addLOCtoLHT(address laborOfferingContract, address laborHourToken);approveContract(address newContract);ChronoMint(address _tc, address _rc, address _ec)"
gnosis/solidity-arithmetic,test/ThrowProxy.sol,ThrowProxy(address _target);execute()
EthFans/carbonvote,contract/vote.sol,""
winsvega/solidity,test/libsolidity/syntaxTests/functionTypes/function_type_parameter.sol,f(function(uint)
bobsummerwill/solidity,test/libsolidity/syntaxTests/functionTypes/function_type_parameter.sol,f(function(uint)
benjaminion/solidity,test/libsolidity/syntaxTests/functionTypes/function_type_parameter.sol,f(function(uint)
BitySA/whetcwithdraw,address_authorization/whauthorizeaddress.sol,Owned();changeOwner(address _newOwner);getOwner();authorizeAddress(address _authorizedAddress);getCodeSize(address _addr);close();getIsClosed()
ethereum/solidity,test/libsolidity/syntaxTests/functionTypes/function_types_internal_visibility_error.sol,""
bitcoinmeetups/dapp-bin,clientreceipt/clientreceipt.sol,"nominate(address _keyholder, address _executive);open();nominate(address _keyholder, address _executive);open();close();deposit(hash _id);refill();transfer(address _to, uint _value, byte[] _data)"
chriseth/dapp-bin,clientreceipt/clientreceipt.sol,"nominate(address _keyholder, address _executive);open();nominate(address _keyholder, address _executive);open();close();deposit(hash _id);refill();transfer(address _to, uint _value, byte[] _data)"
AlphaDinoRC/rockchain,contracts/Crowdsale.sol,"Crowdsale(address _rok, address _escrow);contribute(address contributor);isStarted();isComplete();tokenBalance();isSuccessful();checkEthBalance(address _contributor);checkRokSold();checkRokTeam();checkRokBounty();refundPeriodOver();refundPeriodStart();percentOfGoal();getBonus(uint256 amount);setBalance(address sender,uint256 value);finalize();payout();payTeam();updateKYClist(address[] allowed);claim();refund();partialRefund(uint256 value)"
ethereum/solidity,test/libsolidity/syntaxTests/events/event_function_type_indexed.sol,f()
winsvega/solidity,test/libsolidity/smtCheckerTests/types/function_type_call.sol,f(function(uint);h()
bobsummerwill/solidity,test/libsolidity/smtCheckerTests/types/function_type_call.sol,f(function(uint);h()
WishFinanceCom/WF-contracts,contracts/buyback/BuyBack.sol,"emitError(uint errorCode);emitPricesUpdated(uint buyPrice, uint sellPrice);emitActiveChanged(bool isActive);_error(uint error);_emitPricesUpdated(uint buyPrice, uint sellPrice);_emitActiveChanged(bool isActive);setupEventsHistory(address _eventsHistory);init(Asset _asset, DelayedPayments _delayedPayments);setActive(bool _active);setPrices(uint _buyPrice, uint _sellPrice);_balanceOf(address _address);sell(uint _amount, uint _price);withdrawTokens(address _recipient, uint _amount);withdrawAllTokens(address _recipient);withdrawEth(address _recipient, uint _amount);withdrawAllEth(address _recipient);withdrawAll(address _recipient);emitError(uint errorCode);emitPricesUpdated(uint buyPrice, uint sellPrice);emitActiveChanged(bool isActive);getEventsHistory();_mul(uint _a, uint _b)"
winsvega/solidity,test/libsolidity/syntaxTests/functionTypes/external_function_to_function_type_calldata_parameter.sol,f(function(bytes memory);callback(bytes calldata);g()
bobsummerwill/solidity,test/libsolidity/syntaxTests/functionTypes/external_function_to_function_type_calldata_parameter.sol,f(function(bytes memory);callback(bytes calldata);g()
orbro/eth-enablers,pyramidScheme.sol,"Pyramid(address _bitcoinBridge);enter(bytes desc, bytes bitcoinAddress);getNumberOfParticipants();collectFees(address recipient);setBitcoinBridge(address _bitcoinBridge);setOwner(address _owner);queuePayment(bytes bitcoinAddress)"
winsvega/solidity,test/libsolidity/syntaxTests/functionTypes/external_function_type_taking_internal.sol,""
bobsummerwill/solidity,test/libsolidity/syntaxTests/functionTypes/external_function_type_taking_internal.sol,""
benjaminion/solidity,test/libsolidity/syntaxTests/functionTypes/external_function_type_taking_internal.sol,""
bobsummerwill/solidity,test/libsolidity/ABIJson/function_type_extended.sol,g(function(test)
ethereum/solidity,test/libsolidity/ABIJson/function_type_extended.sol,g(function(test)
Fermion-Project/Light-Wallet,contracts/MultiSigWallet.sol,"MultiSigWallet(address[] _owners, uint _required);addOwner(address owner);removeOwner(address owner);replaceOwner(address owner, address newOwner);changeRequirement(uint _required);submitTransaction(address destination, uint value, bytes data);confirmTransaction(uint transactionId);revokeConfirmation(uint transactionId);executeTransaction(uint transactionId);isConfirmed(uint transactionId);addTransaction(address destination, uint value, bytes data);getConfirmationCount(uint transactionId);getTransactionCount(bool pending, bool executed);getOwners();getConfirmations(uint transactionId);getTransactionIds(uint from, uint to, bool pending, bool executed)"
ethereum/solidity,test/libsolidity/semanticTests/viaYul/conversion/function_cast.sol,f(uint x);g();h(uint x);t()
benjaminion/solidity,test/libsolidity/syntaxTests/functionTypes/delete_function_type.sol,f()
raiden-network/raiden-token,contracts/test/gnosis_multisig_wallet.sol,"MultiSigWallet(address[] _owners, uint _required);addOwner(address owner);removeOwner(address owner);replaceOwner(address owner, address newOwner);changeRequirement(uint _required);submitTransaction(address destination, uint value, bytes data);confirmTransaction(uint transactionId);revokeConfirmation(uint transactionId);executeTransaction(uint transactionId);isConfirmed(uint transactionId);addTransaction(address destination, uint value, bytes data);getConfirmationCount(uint transactionId);getTransactionCount(bool pending, bool executed);getOwners();getConfirmations(uint transactionId);getTransactionIds(uint from, uint to, bool pending, bool executed)"
pembient/pembicoin,tests/Reentrant.sol,Reentrant(PembiCoinICO _victim);arm();disarm();requestRefund()
winsvega/solidity,test/libsolidity/syntaxTests/parsing/mapping_and_array_of_functions.sol,""
bobsummerwill/solidity,test/libsolidity/syntaxTests/parsing/mapping_and_array_of_functions.sol,""
ethereum/solidity,test/libsolidity/syntaxTests/parsing/multiple_modifier_arg_trailing_comma.sol,""
dltdojo/courses,ethereum/solidity/T250_Ballot.sol,"vote(Ballot ballot, uint8 proposal);Ballot(uint8 _numProposals);giveRightToVote(address voter);delegate(address to);vote(uint8 proposal);winningProposal()"
burnoutcoin/go-burnout,contracts/ens/contract/ens.sol,"ENS(address owner);owner(bytes32 node);resolver(bytes32 node);setOwner(bytes32 node, address owner);setSubnodeOwner(bytes32 node, bytes32 label, address owner);setResolver(bytes32 node, address resolver);FIFSRegistrar(address ensAddr, bytes32 node);register(bytes32 subnode, address owner);has(bytes32 node, bytes32 kind);addr(bytes32 node);content(bytes32 node);PublicResolver(address ensAddr);has(bytes32 node, bytes32 kind);addr(bytes32 node);content(bytes32 node);setAddr(bytes32 node, address addr);setContent(bytes32 node, bytes32 hash)"
winsvega/solidity,test/libsolidity/ABIJson/function_type.sol,g(function(uint)
credsign/credsign.github.io,contracts/indexes/ContentSeries.sol,ContentSeries(address contentContract);add(uint256 contentID);getSize()
wilmveel/praetorian-contracts,contracts/Grant.sol,Grant(address _client);authorize();revoke();getState()
fccoelho/Curso_Blockchain,contracts/ICO/node_modules/openzeppelin-solidity/contracts/ownership/HasNoEther.sol,reclaimEther()
qjflores/singularity,contracts/Bank.sol,"Bank(string _name);customerExchangeFiat(uint256 _amount, address _userAddress, string _transactionType);customerExchangeEther(uint256 _amount, address _userAddress, string _transactionType)"
dltdojo/courses,ethereum/solidity/T130_MsgSender.sol,testTodo();info();Foo();kill();Alice(address _fooAddress);testFooSend();testFooKill();kill();Bob(address _fooAddress);testFooSend();testFooKill();testAliceFooSend();testAliceFooKill()
SmartChainX/ChainBlockchain,Contracts/ICO/Crowdsale.sol,"Crowdsale(address _token, PricingStrategy _pricingStrategy, address _multisigWallet, uint _start, uint _end, uint _minimumFundingGoal);investInternal(address receiver, uint128 customerId);preallocate(address receiver, uint fullTokens, uint weiPrice);investWithSignedAddress(address addr, uint128 customerId, uint8 v, bytes32 r, bytes32 s);investWithCustomerId(address addr, uint128 customerId);invest(address addr);buyWithSignedAddress(uint128 customerId, uint8 v, bytes32 r, bytes32 s);buyWithCustomerId(uint128 customerId)"
becodemonkey/solidity,contracts/wallet/MultiSigWalletWithDailyLimit.sol,"MultiSigWallet(address[] _owners, uint _required);addOwner(address owner);removeOwner(address owner);replaceOwner(address owner, address newOwner);changeRequirement(uint _required);submitTransaction(address destination, uint value, bytes data);confirmTransaction(uint transactionId);revokeConfirmation(uint transactionId);executeTransaction(uint transactionId);isConfirmed(uint transactionId);addTransaction(address destination, uint value, bytes data);getConfirmationCount(uint transactionId);getTransactionCount(bool pending, bool executed);getOwners();getConfirmations(uint transactionId);getTransactionIds(uint from, uint to, bool pending, bool executed);MultiSigWalletWithDailyLimit(address[] _owners, uint _required, uint _dailyLimit);changeDailyLimit(uint _dailyLimit);executeTransaction(uint transactionId);isUnderLimit(uint amount);calcMaxWithdraw()"
ethereum/solidity,test/libsolidity/syntaxTests/parsing/multiple_event_arg_trailing_comma.sol,""
intellij-solidity/intellij-solidity,src/test/resources/fixtures/parser/solidity_official_tests/shouldSucceed/fallbackFunction.sol,""
validitylabs/SimpleEthVote,contracts/VoteFactory.sol,"transferOwner(address newOwner);payOut();VoteFactory();newVote(uint duration, string description);startNewVote(uint duration, string description);vote(bool isYes, address voteSender)"
winsvega/solidity,test/libsolidity/semanticTests/uninitializedFunctionPointer/storeInConstructor.sol,f()
bobsummerwill/solidity,test/libsolidity/semanticTests/uninitializedFunctionPointer/storeInConstructor.sol,f()
